Timestamp,Honeypot,Src_IP,Country,Confidence,Event,Details,MITRE_ID,MITRE_Technique
2026-01-06T01:27:33.444322Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:59.218031Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:27:59.379532Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:27:59.525551Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:00.810679Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:28:02.356609Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:27.824562Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:28:27.993592Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:28.262039Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:29.305942Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:28:30.819547Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:57.284731Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:28:57.538318Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:57.538913Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:28:58.979614Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:29:00.449896Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:29:26.145033Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:29:26.456092Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:29:26.456772Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:29:27.870330Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:29:29.490239Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:29:56.693154Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:29:57.063886Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:29:57.064539Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:29:58.688351Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:30:00.589617Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:30:27.556275Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:30:27.674674Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:30:27.883703Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:30:29.087596Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:30:30.651569Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:30:58.870642Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:30:58.986233Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:30:59.321134Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:31:00.413868Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:31:01.949296Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:31:29.917194Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:31:30.023172Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:31:30.302067Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:31:31.156682Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:31:32.760681Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:32:01.207176Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:32:01.353621Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:32:01.500189Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:32:02.976539Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:32:04.546124Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:32:30.999433Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:32:31.325928Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:32:31.326559Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:32:32.789459Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:32:34.387563Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:33:00.516280Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:33:00.699502Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:33:00.700227Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:33:01.958258Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:33:03.766850Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
2026-01-06T01:33:29.675517Z,Cowrie,164.92.221.17,NL,100,cowrie.session.connect,,T1046,Network Service Discovery
2026-01-06T01:33:29.807395Z,Cowrie,164.92.221.17,NL,100,cowrie.client.version,,T1071,Standard Application Layer Protocol
2026-01-06T01:33:29.955130Z,Cowrie,164.92.221.17,NL,100,cowrie.client.kex,,T1071,Standard Application Layer Protocol
2026-01-06T01:33:31.351511Z,Cowrie,164.92.221.17,NL,100,cowrie.login.failed,,T1110,Brute Force
2026-01-06T01:33:32.866780Z,Cowrie,164.92.221.17,NL,100,cowrie.session.closed,,T1071,Standard Application Layer Protocol
